area,bedrooms,bathrooms,age,location,price
1200,2,2,10,Chennai,5500000
1500,3,2,5,Chennai,7000000
1800,3,3,8,Bangalore,8500000
1000,2,1,15,Coimbatore,4000000
2200,4,3,4,Chennai,10500000
1600,3,2,7,Coimbatore,6500000
2500,4,4,3,Bangalore,12000000
900,2,1,20,Madurai,3500000
2000,3,3,6,Chennai,9500000
1400,2,2,12,Madurai,5200000
1700,3,2,9,Bangalore,8000000
1100,2,1,18,Coimbatore,4200000
2300,4,3,5,Chennai,11000000
1300,2,2,11,Bangalore,6000000
1900,3,3,7,Coimbatore,8200000
2700,4,4,2,Chennai,13500000
1050,2,1,16,Madurai,3900000
1550,3,2,10,Bangalore,7200000
2100,4,3,5,Coimbatore,9800000
1250,2,2,13,Chennai,5700000
